#Charset:UTF-8
ふぃゃ.wav=,120.4,90.4,951.9,77.5,3.5
ま.wav=,415.6,46.5,425.6,39.4,5.4
く゜ぉ.wav=,221.3,83.0,321.7,38.3,13.4
どぁ.wav=,172.4,180.9,231.7,114.4,13.2
あっ.wav=,373.2,17.5,315.5,11.8,6.6
ぢゅ.wav=,230.7,58.2,329.0,42.3,5.7
み.wav=,220.5,44.7,396.8,38.0,5.2
息吸短.wav=,2163.6,117.2,909.8,60.4,35.9
と.wav=,357.8,61.3,447.7,29.2,20.1
を.wav=,540.5,60.7,285.5,32.2,14.6
ん息長.wav=,390.8,45.6,476.9,36.4,9.0
ヴ.wav=,238.1,102.9,179.4,49.3,7.5
りゃ.wav=,179.7,56.0,370.0,28.8,4.8
べ.wav=,88.4,33.5,234.7,26.5,5.7
ずぉ.wav=,305.6,57.4,238.5,41.0,5.5
ぢ.wav=,208.3,52.0,246.9,17.9,7.7
ぜ.wav=,140.4,49.6,246.0,28.8,8.3
ゐ.wav=,227.6,38.6,349.8,27.5,6.9
な.wav=,298.5,63.2,330.7,50.3,10.6
きゃ.wav=,125.8,80.6,361.6,55.8,3.1
ぢょ.wav=,334.2,63.8,389.3,36.0,10.4
く゜.wav=,121.3,98.0,304.7,58.9,25.1
うぉ.wav=,282.1,53.8,563.1,25.1,16.3
どぃ.wav=,186.7,31.2,302.2,17.0,6.2
あ（え）.wav=,196.5,59.9,472.7,15.1,9.2
に.wav=,126.0,58.1,368.6,19.2,7.5
ゑ.wav=,296.1,38.8,375.3,18.1,4.5
ゆ.wav=,147.6,40.0,434.8,34.2,7.4
ぴゃ.wav=,312.5,64.5,197.2,34.6,9.1
ぺ.wav=,164.8,32.0,278.2,28.1,6.5
ぷぉ.wav=,184.5,136.6,432.7,46.8,7.5
とぁ.wav=,251.6,107.1,339.9,70.9,4.1
ん2.wav=,119.7,55.6,263.4,42.0,7.3
ずぇ.wav=,257.4,72.0,349.8,38.2,15.0
る.wav=,233.0,94.9,495.7,48.1,6.6
づぃ.wav=,330.3,69.1,443.4,47.1,8.6
え↑.wav=,110.7,37.4,551.0,20.3,11.4
づぃぇ.wav=,55.1,61.1,289.0,50.9,6.1
て.wav=,189.1,61.0,408.7,26.9,15.6
ぎ.wav=,325.6,155.5,411.6,84.3,12.7
く゜ぇ.wav=,276.9,105.6,380.3,30.2,17.5
ぎゅ.wav=,251.5,85.9,402.4,55.1,13.8
り.wav=,305.7,66.5,303.6,55.1,5.5
